,degree_centrality,betweenness_centrality,closeness_centrality
Kirsten Johnson_d,0.0,0.0,0.0
Haile Gerima_d,0.0005742588471753643,0.0,0.0005742588471753643
Kofi Ghanaba_a,0.0005742588471753643,0.0,0.0005742588471753643
Oyafunmike Ogunlano_a,0.0005742588471753643,0.0,0.0005742588471753643
Alexandra Duah_a,0.0005742588471753643,0.0,0.0005742588471753643
Nick Medley_a,0.0005742588471753643,0.0,0.0005742588471753643
Mutabaruka_a,0.0005742588471753643,0.0,0.0005742588471753643
Afemo Omilami_a,0.0005742588471753643,0.0,0.0005742588471753643
Reggie Carter_a,0.0005742588471753643,0.0,0.0005742588471753643
Mzuri_a,0.0005742588471753643,0.0,0.0005742588471753643
Theodore Melfi_d,0.0007896059148661259,0.0,0.24089845704629076
Melissa McCarthy_a,0.0028712942358768215,0.00034515514972133086,0.27040778089108
Chris O'Dowd_a,0.005527241404062881,0.0019593456150605476,0.28183287874165985
Kevin Kline_a,0.003804464862536788,0.0006414484373956066,0.27264365912379657
Timothy Olyphant_a,0.004952982556887517,0.0013147622889643708,0.28909832367768373
Daveed Diggs_a,0.0014356471179384107,0.0008506823783122256,0.25082671834965864
Skyler Gisondo_a,0.0017227765415260927,0.00019613057157928868,0.25251823905908505
Laura Harrier_a,0.0007896059148661259,0.0,0.24089845704629076
Rosalind Chao_a,0.001866341253319934,0.00013908708378505667,0.24692980393885225
Kimberly Quinn_a,0.0007896059148661259,0.0,0.24089845704629076
Loretta Devine_a,0.008470317995836623,0.004550148992725306,0.2921182062040677
Ravi Kapoor_a,0.0007896059148661259,0.0,0.24089845704629076
Dennis Dugan_d,0.002584164812289139,0.0002764315238678162,0.2612064094540097
Adam Sandler_a,0.013064388773239538,0.005847335574640217,0.30488981091362455
Kevin James_a,0.006603976742516689,0.001714941400468174,0.28835872945938384
Chris Rock_a,0.00796784150455818,0.004146234807799199,0.29848027046586184
David Spade_a,0.004881200200990596,0.0011056164239231865,0.2836275316951835
Rob Schneider_a,0.005742588471753643,0.0006913161423226745,0.2835838429195065
Salma Hayek_a,0.009690618046084272,0.005098471187549802,0.29831905178245155
Maria Bello_a,0.006245064963032086,0.00291939779632762,0.2904437802219346
Maya Rudolph_a,0.011844088722991888,0.005053426196993848,0.30624224700306674
Colin Quinn_a,0.003373770727155265,0.000625592963345677,0.2701564725445269
Tim Meadows_a,0.0028712942358768215,0.0006034384912951377,0.26752622546380767
Joyce Van Patten_a,0.0007896059148661259,0.0,0.2537888075680785
Scott Stewart_d,0.0027995118799799008,0.00042918134139641303,0.25734222927501205
Keri Russell_a,0.003660900150742947,0.00032794842114362095,0.26316040141514274
Josh Hamilton_a,0.0033019883712583444,0.0004229458101255015,0.26183174953542754
J.K. Simmons_a,0.004881200200990596,0.0018773381196792531,0.280865464400331
Dakota Goyo_a,0.0014356471179384107,7.166965122127384e-05,0.24779948963368142
Kadan Rockett_a,0.0007178235589692054,0.0,0.2263788881934751
L.J. Benet_a,0.0007178235589692054,0.0,0.2263788881934751
Rich Hutchman_a,0.0007178235589692054,0.0,0.2263788881934751
Myndy Crist_a,0.0007178235589692054,0.0,0.2263788881934751
Annie Thurman_a,0.0007178235589692054,0.0,0.2263788881934751
Jake Brennan_a,0.0007178235589692054,0.0,0.2263788881934751
Robert Luketic_d,0.004306941353815232,0.0009614163549105121,0.2859106470661477
Liam Hemsworth_a,0.0017227765415260927,0.0001352155999702985,0.26670589007896794
Gary Oldman_a,0.007752494436867418,0.003911142605278567,0.300053182197007
Amber Heard_a,0.00818318857224894,0.00497885697218569,0.2998495575178647
Harrison Ford_a,0.008613882707630464,0.004162947274180357,0.29531233389655437
Lucas Till_a,0.0028712942358768215,0.0005709710189067954,0.2700111916255345
Embeth Davidtz_a,0.003732682506639868,0.0007570369506941103,0.27854947169156286
Julian McMahon_a,0.0007178235589692054,0.0,0.25092358024171135
Josh Holloway_a,0.0015792118297322517,0.00013410780460861046,0.26474984659302103
Richard Dreyfuss_a,0.003517335438949106,0.0011554807438605575,0.2737178573050009
Angela Sarafyan_a,0.0014356471179384107,6.510673144488481e-05,0.26093491718991374
George Nolfi_d,0.0006460412030722848,0.0,0.19081618009294712
Billy Magnussen_a,0.0013638647620414902,0.0014292212479716589,0.2359937156707462
Ron Yuan_a,0.0011485176943507285,0.0008944297973970058,0.19083925658064022
Qu Jingjing_a,0.0006460412030722848,0.0,0.19081618009294712
Terry Chen_a,0.001220300050247649,0.0005063095283861286,0.22067159137384615
Vanness Wu_a,0.0006460412030722848,0.0,0.19081618009294712
Jin Xing_a,0.0006460412030722848,0.0,0.19081618009294712
Philip Ng_a,0.0006460412030722848,0.0,0.19081618009294712
Xia Yu_a,0.0006460412030722848,0.0,0.19081618009294712
Yu Xia_a,0.0006460412030722848,0.0,0.19081618009294712
Steven Spielberg_d,0.008254970928145861,0.004077592378877589,0.2891437282255482
Roy Scheider_a,0.001220300050247649,0.00018185785032537902,0.22550542727014164
Robert Shaw_a,0.0007178235589692054,0.0,0.225473206290964
Lorraine Gary_a,0.0017945588974230134,0.00044749920215048924,0.23165819787766326
Murray Hamilton_a,0.001220300050247649,0.00018185785032537902,0.22550542727014164
Carl Gottlieb_a,0.0007178235589692054,0.0,0.225473206290964
Jeffrey Kramer_a,0.001220300050247649,0.00018185785032537902,0.22550542727014164
Susan Backlinie_a,0.0007178235589692054,0.0,0.225473206290964
Jonathan Filley_a,0.0007178235589692054,0.0,0.225473206290964
Ted Grossman_a,0.0007178235589692054,0.0,0.225473206290964
Jeannot Szwarc_d,0.0007178235589692054,0.0,0.18386360813277103
Joseph Mascolo_a,0.0007178235589692054,0.0,0.18386360813277103
Collin Wilcox Paxton_a,0.0007178235589692054,0.0,0.18386360813277103
Ann Dusenberry_a,0.0007178235589692054,0.0,0.18386360813277103
Mark Gruner_a,0.0007178235589692054,0.0,0.18386360813277103
Barry Coe_a,0.0007178235589692054,0.0,0.18386360813277103
Susan French_a,0.0007178235589692054,0.0,0.18386360813277103
Joe Alves_d,0.0007178235589692054,0.0,0.23276140188803793
Dennis Quaid_a,0.013207953485033378,0.009845219617778496,0.30971114925701276
Bess Armstrong_a,0.0013638647620414902,9.761751962968067e-05,0.23617536185671928
Simon MacCorkindale_a,0.0007178235589692054,0.0,0.23276140188803793
Louis Gossett Jr._a,0.0007178235589692054,0.0,0.23276140188803793
John Putch_a,0.0007178235589692054,0.0,0.23276140188803793
Lea Thompson_a,0.0033019883712583444,0.0008671834812965646,0.26104591396432986
P.H. Moriarty_a,0.0007178235589692054,0.0,0.23276140188803793
Dan Blasko_a,0.0007178235589692054,0.0,0.23276140188803793
Liz Morris_a,0.0007178235589692054,0.0,0.23276140188803793
Lisa Maurer_a,0.0007178235589692054,0.0,0.23276140188803793
Joseph Sargent_d,0.0012920824061445695,9.704430187267902e-05,0.23073396518779749
Lance Guest_a,0.0005742588471753643,0.0,0.21434283204425372
Mario Van Peebles_a,0.001076735338453808,8.680125060160724e-05,0.21437195019019983
Karen Young_a,0.0016509941856291722,0.00010815900830662341,0.22811799866593596
Michael Caine_a,0.003804464862536788,0.001172434614219646,0.2687171977862801
Judith Barsi_a,0.0017945588974230134,0.00014683600043649133,0.22985055244497518
Mitchell Anderson_a,0.0005742588471753643,0.0,0.21434283204425372
Lynn Whitfield_a,0.0028712942358768215,0.0018041381218191102,0.24494761950950453
Daniel Espinosa_d,0.0007178235589692054,0.0,0.25400473347591557
Denzel Washington_a,0.006891106166104371,0.003269577984743663,0.29276080277227257
Ryan Reynolds_a,0.008470317995836623,0.004552867851253891,0.3013794021990783
Vera Farmiga_a,0.004881200200990596,0.0020986158651229974,0.28719665772452335
Brendan Gleeson_a,0.006819323810207451,0.0026420826908792787,0.2964615633226145
Sam Shepard_a,0.00940348862249659,0.004164980746923747,0.2977802358646884
Rubén Blades_a,0.0007178235589692054,0.0,0.25400473347591557
Nora Arnezeder_a,0.0017945588974230134,0.00022370684718032852,0.2603997607119429
Robert Patrick_a,0.008111406216352021,0.005347683788417205,0.30293324510203534
Liam Cunningham_a,0.0022252530328045364,0.000324462874552329,0.26621738243560644
Joel Kinnaman_a,0.0012920824061445695,0.00012076021468846173,0.2581843177215926
Antoine Fuqua_d,0.003230206015361424,0.0005320904198755382,0.27896451371065023
Ethan Hawke_a,0.005024764912784438,0.0017563859066223376,0.28290838390064327
Scott Glenn_a,0.0029430765917737418,0.0005475707787283604,0.272354599571
Tom Berenger_a,0.00409159428612447,0.0012651737979353602,0.2802526411112677
Harris Yulin_a,0.004594070777402914,0.0012813819180782743,0.2828069804501041
Raymond J. Barry_a,0.0015074294738353312,9.751225040927143e-05,0.2547310637718065
Cliff Curtis_a,0.004450506065609073,0.0014314105317726725,0.2802313118220259
Dr. Dre_a,0.003517335438949106,0.0005686780341418003,0.2559765914166018
Snoop Dogg_a,0.004163376642021391,0.0013657138771850134,0.286140240633111
Macy Gray_a,0.002440600100495298,0.0003924822729447984,0.26671232976145975
Eva Mendes_a,0.005024764912784438,0.0021668754716081414,0.2911020357719026
Cedric Nicolas-Troyan_d,0.0005024764912784438,0.0,0.23416271700762337
Mary Elizabeth Winstead_a,0.006316847318929007,0.002760032416624277,0.2887356000052439
Jun Kunimura_a,0.0005024764912784438,0.0,0.23416271700762337
Woody Harrelson_a,0.007178235589692054,0.003300949599984225,0.29231919787764943
Tadanobu Asano_a,0.002440600100495298,0.0005455446209381286,0.2670088916944795
Miyavi_a,0.0005024764912784438,0.0,0.23416271700762337
Michiel Huisman_a,0.003230206015361424,0.0006715754135839252,0.26400319900099467
Miku Martineau_a,0.0005024764912784438,0.0,0.23416271700762337
Alice Waddington_d,0.0005742588471753643,0.0,0.2279250133996496
Emma Roberts_a,0.005527241404062881,0.001735423045429634,0.2848563063953948
Danielle Macdonald_a,0.002153470676907616,0.0003088907236030227,0.2588923019992176
